X,Y,ID,X,Y,CLASSE,AREIA_1,ARGILA_1,AREIA_2,ARGILA_2,AREIA_3,ARGILA_3,AREIA_4,ARGILA_4,S1,S2,S3,S4,S,h,CAP,PF,EA,Sitio
517282,6908678,1,517282.000000000000000,6908678,RL,142,544,NA,NA,NA,NA,NA,NA,0,0,1,0,3,31.100000000000001,161.800000000000010,20,20,4
517204.9,6908698.0,2,517204.900000000020000,6908698,RL,159,432,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.799999999999997,151.300000000000010,10,20,4
517258,6908701,3,517258.000000000000000,6908701,RL,75,639,NA,NA,NA,NA,NA,NA,0,0,0,1,4,28.800000000000001,138.500000000000000,20,20,4
517579.9,6908718.0,4,517579.900000000020000,6908718,CX,121,628,114,612,103,663,84,694,0,0,1,0,3,29.500000000000000,162.300000000000010,100,30,4
517414.9,6908723.0,5,517414.900000000020000,6908723,RL,181,596,NA,NA,NA,NA,NA,NA,0,1,0,0,2,34.100000000000001,173.000000000000000,30,30,4
517524.9,6908743.0,6,517524.900000000020000,6908743,RL,121,647,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.899999999999999,146.800000000000010,30,30,4
517324.9,6908768.0,7,517324.900000000020000,6908768,RL,87,591,NA,NA,NA,NA,NA,NA,0,0,1,0,3,29.199999999999999,146.800000000000010,20,20,4
517557,6908792,8,517557.000000000000000,6908792,GX,93,564,180,459,142,572,147,512,1,0,0,0,1,35.200000000000003,159.300000000000010,100,30,4
517194.9,6908793.0,9,517194.900000000020000,6908793,RL,164,476,NA,NA,NA,NA,NA,NA,0,0,1,0,3,31.899999999999999,137.800000000000010,10,10,4
517455,6908786,10,517455.000000000000000,6908786,CX,135,558,118,663,94,658,61,735,0,1,0,0,2,33.100000000000001,139.300000000000010,100,50,4
517419,6908850,12,517419.000000000000000,6908850,RR,107,559,92,622,NA,NA,NA,NA,0,0,1,0,3,31.000000000000000,155.000000000000000,55,55,3
517244.9,6908863.0,14,517244.900000000020000,6908863,RL,178,539,NA,NA,NA,NA,NA,NA,0,0,1,0,3,29.600000000000001,136.800000000000010,10,10,4
517269.9,6908873.0,15,517269.900000000020000,6908873,RL,111,580,NA,NA,NA,NA,NA,NA,0,0,1,0,3,30.100000000000001,146.800000000000010,10,10,4
517549.9,6908888.0,16,517549.900000000020000,6908888,CX,100,578,79,614,64,673,62,752,0,1,0,0,2,34.500000000000000,148.300000000000010,100,40,4
517654.9,6908908.0,17,517654.900000000020000,6908908,RL,178,554,NA,NA,NA,NA,NA,NA,0,0,1,0,3,30.300000000000001,143.800000000000010,15,15,4
517295,6908917,18,517295.000000000000000,6908917,RL,141,573,NA,NA,NA,NA,NA,NA,0,0,0,1,4,24.000000000000000,132.800000000000010,10,10,3
517974,6908947,19,517974.000000000000000,6908947,RL,109,625,NA,NA,NA,NA,NA,NA,0,0,1,0,3,30.100000000000001,142.500000000000000,30,30,3
517499.9,6908963.0,20,517499.900000000020000,6908963,CX,137,375,NA,NA,NA,NA,NA,NA,0,1,0,0,2,34.000000000000000,155.000000000000000,100,35,4
517428,6908974,21,517428.000000000000000,6908974,CX,117,426,194,420,170,420,18,42,0,0,1,0,3,30.800000000000001,189.800000000000010,100,40,4
517159.9,6908983.0,22,517159.900000000020000,6908983,RL,128,470,NA,NA,NA,NA,NA,NA,0,0,1,0,3,31.699999999999999,151.800000000000010,20,20,4
517539.9,6909003.0,23,517539.900000000020000,6909003,CX,113,551,162,506,91,612,53,728,1,0,0,0,1,36.000000000000000,156.800000000000010,100,30,4
518028,6909004,24,518028.000000000000000,6909004,RL,134,534,NA,NA,NA,NA,NA,NA,0,0,1,0,3,31.500000000000000,140.800000000000010,15,15,3
517469,6909007,25,517469.000000000000000,6909007,CX,121,596,75,647,78,680,57,689,1,0,0,0,1,35.399999999999999,156.500000000000000,100,30,4
517259.9,6909038.0,26,517259.900000000020000,6909038,GX,99,423,105,478,126,462,137,489,0,1,0,0,2,32.899999999999999,166.000000000000000,100,40,4
517995,6909045,27,517995.000000000000000,6909045,RL,193,445,NA,NA,NA,NA,NA,NA,0,0,0,1,4,26.699999999999999,129.800000000000010,30,30,3
518044.9,6909053.0,28,518044.900000000020000,6909053,RR,137,550,108,613,NA,NA,NA,NA,1,0,0,0,1,34.700000000000003,147.300000000000010,50,50,3
517783,6909021,29,517783.000000000000000,6909021,RL,193,520,NA,NA,NA,NA,NA,NA,0,0,1,0,3,31.199999999999999,140.500000000000000,10,10,3
518124.9,6909123.0,30,518124.900000000020000,6909123,RR,156,551,186,564,NA,NA,NA,NA,0,0,1,0,3,31.300000000000001,139.000000000000000,40,40,3
517485,6909125,31,517485.000000000000000,6909125,CX,96,566,106,536,72,671,62,716,1,0,0,0,1,35.500000000000000,145.500000000000000,100,40,1
517949.9,6909133.0,32,517949.900000000020000,6909133,CX,151,534,114,568,85,663,76,706,0,1,0,0,2,34.000000000000000,146.300000000000010,100,30,2
517299,6909118,33,517299.000000000000000,6909118,CX,151,465,148,494,131,572,NA,NA,0,0,1,0,3,31.399999999999999,188.300000000000010,60,30,1
518021,6909140,34,518021.000000000000000,6909140,RL,152,504,NA,NA,NA,NA,NA,NA,0,0,0,1,4,25.500000000000000,148.500000000000000,10,10,2
518206,6909174,35,518206.000000000000000,6909174,CX,125,617,74,638,61,724,164,782,0,1,0,0,2,33.100000000000001,150.800000000000010,100,30,2
517578,6909156,36,517578.000000000000000,6909156,RR,119,627,198,565,72,712,63,725,0,0,0,1,4,28.500000000000000,142.800000000000010,30,30,1
517904,6909139,37,517904.000000000000000,6909139,CX,107,549,98,602,85,671,68,725,1,0,0,0,1,36.500000000000000,145.300000000000010,100,35,2
517909.9,6909208.0,38,517909.900000000020000,6909208,CX,157,555,111,635,74,656,74,719,0,1,0,0,2,34.200000000000003,139.300000000000010,100,30,2
516903,6909217,39,516903.000000000000000,6909217,CX,125,575,102,590,NA,NA,NA,NA,1,0,0,0,1,35.500000000000000,169.000000000000000,90,50,1
518024,6909218,40,518024.000000000000000,6909218,RL,147,498,NA,NA,NA,NA,NA,NA,0,0,0,1,4,29.000000000000000,149.000000000000000,15,15,2
516914.9,6909228.0,41,516914.900000000020000,6909228,RL/RR,107,580,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.600000000000001,149.599999999999990,30,30,1
517815,6909235,42,517815.000000000000000,6909235,CX,161,574,116,602,101,660,82,697,0,1,0,0,2,33.500000000000000,146.800000000000010,100,40,1
518264,6909228,43,518264.000000000000000,6909228,CX,127,614,94,692,73,680,69,750,0,1,0,0,2,34.100000000000001,142.800000000000010,100,30,2
517399.9,6909243.0,44,517399.900000000020000,6909243,RL,134,614,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.399999999999999,146.000000000000000,20,20,1
518034,6909159,45,518034.000000000000000,6909159,RR,73,330,95,629,NA,NA,NA,NA,0,0,1,0,3,29.100000000000001,127.800000000000000,40,40,2
516900,6909240,46,516900.000000000000000,6909240,CX,69,633,62,653,54,696,63,743,1,0,0,0,1,35.899999999999999,147.800000000000010,100,60,1
517809,6909249,47,517809.000000000000000,6909249,CX,81,664,70,642,63,669,182,445,0,1,0,0,2,33.700000000000003,136.500000000000000,100,40,1
516919.9,6909273.0,48,516919.900000000020000,6909273,RL,103,574,NA,NA,NA,NA,NA,NA,0,1,0,0,2,33.399999999999999,144.800000000000010,40,20,1
517804,6909264,49,517804.000000000000000,6909264,CX,90,643,60,742,55,708,60,688,0,1,0,0,2,32.100000000000001,146.000000000000000,100,40,1
517453,6909288,51,517453.000000000000000,6909288,RL,159,432,NA,NA,NA,NA,NA,NA,0,0,0,1,4,28.100000000000001,125.500000000000000,15,15,3
517501,6909283,52,517501.000000000000000,6909283,RL,181,596,NA,NA,NA,NA,NA,NA,0,0,1,0,3,30.500000000000000,123.800000000000000,35,20,3
517314,6909301,53,517314.000000000000000,6909301,RR,136,441,192,475,NA,NA,NA,NA,0,0,0,1,4,25.600000000000001,138.000000000000000,30,30,1
518404.9,6909313.0,54,518404.900000000020000,6909313,CX,93,641,69,730,57,700,69,701,0,0,1,0,3,30.000000000000000,148.500000000000000,100,30,2
517339,6909320,56,517339.000000000000000,6909320,RR,73,330,NA,NA,NA,NA,NA,NA,0,0,0,1,4,27.899999999999999,135.500000000000000,40,30,1
517729.9,6909343.0,57,517729.900000000020000,6909343,CX,40,614,97,548,98,578,89,639,1,0,0,0,1,36.200000000000003,171.500000000000000,100,40,2
517939.9,6909343.0,58,517939.900000000020000,6909343,RL,167,522,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.799999999999997,143.000000000000000,20,20,4
517319.9,6909358.0,59,517319.900000000020000,6909358,CX,59,432,45,666,59,720,53,678,0,0,0,1,4,28.800000000000001,137.800000000000010,100,40,1
518164.9,6909358.0,60,518164.900000000020000,6909358,RL,163,531,NA,NA,NA,NA,NA,NA,0,0,1,0,3,30.399999999999999,150.300000000000010,10,10,4
517021,6909358,61,517021.000000000000000,6909358,CX,51,453,48,667,56,667,51,656,0,1,0,0,2,32.500000000000000,176.500000000000000,100,50,1
517459,6909366,62,517459.000000000000000,6909366,RR,80,414,74,461,70,660,NA,NA,0,0,0,1,4,28.100000000000001,139.800000000000010,70,70,3
518229.9,6909368.0,63,518229.900000000020000,6909368,RL,202,512,NA,NA,NA,NA,NA,NA,0,0,1,0,3,31.500000000000000,147.000000000000000,30,20,4
517699.9,6909398.0,64,517699.900000000020000,6909398,CX,157,555,NA,NA,NA,NA,NA,NA,0,1,0,0,2,34.399999999999999,159.800000000000010,100,60,2
517219.9,6909403.0,65,517219.900000000020000,6909403,GX,127,630,99,617,NA,NA,NA,NA,0,0,1,0,3,30.600000000000001,152.300000000000010,70,30,1
517281,6909418,66,517281.000000000000000,6909418,GX,96,210,80,377,62,287,NA,NA,0,0,1,0,3,30.100000000000001,162.300000000000010,60,20,1
517631,6909428,67,517631.000000000000000,6909428,RR,100,471,144,484,61,584,53,670,0,1,0,0,2,33.100000000000001,154.000000000000000,50,50,2
518359,6909426,68,518359.000000000000000,6909426,RR,137,659,152,563,NA,NA,NA,NA,0,0,1,0,3,30.000000000000000,146.800000000000010,40,20,2
518504.9,6909453.0,69,518504.900000000020000,6909453,RL,229,495,NA,NA,NA,NA,NA,NA,0,0,0,1,4,24.399999999999999,140.000000000000000,10,10,2
517894.9,6909458.0,70,517894.900000000020000,6909458,RR,164,478,92,419,87,386,NA,NA,0,0,0,1,4,28.899999999999999,137.500000000000000,55,55,4
518614,6909458,71,518614.000000000000000,6909458,RR,120,633,129,611,NA,NA,NA,NA,0,0,1,0,3,30.000000000000000,170.300000000000010,60,20,3
517361,6909449,72,517361.000000000000000,6909449,CX,89,560,109,586,83,631,NA,NA,0,0,1,0,3,30.399999999999999,148.500000000000000,60,45,3
517605,6909320,73,517605.000000000000000,6909320,RL,152,563,NA,NA,NA,NA,NA,NA,0,0,0,1,4,27.199999999999999,160.000000000000000,10,10,2
518304.9,6909478.0,74,518304.900000000020000,6909478,RL,186,484,NA,NA,NA,NA,NA,NA,0,0,0,1,4,28.899999999999999,135.300000000000010,15,15,2
518124.9,6909483.0,75,518124.900000000020000,6909483,RL,149,549,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.200000000000003,130.000000000000000,30,30,4
517994.9,6909493.0,76,517994.900000000020000,6909493,RR,70,648,64,609,NA,NA,NA,NA,0,0,0,1,4,28.000000000000000,134.500000000000000,50,30,4
518709.9,6909508.0,79,518709.900000000020000,6909508,CX,163,482,43,687,57,694,NA,NA,0,0,1,0,3,30.800000000000001,151.300000000000010,60,20,3
517979.9,6909523.0,80,517979.900000000020000,6909523,CX,175,551,82,617,95,663,NA,NA,0,0,1,0,3,30.000000000000000,133.800000000000010,70,30,4
517918,6909505,81,517918.000000000000000,6909505,CX,58,499,45,618,57,715,71,728,0,0,0,1,4,28.899999999999999,175.000000000000000,100,40,2
518034.9,6909583.0,82,518034.900000000020000,6909583,CX,90,572,70,608,48,683,50,685,0,1,0,0,2,32.399999999999999,136.800000000000010,100,30,4
518196,6909570,83,518196.000000000000000,6909570,RL,75,639,NA,NA,NA,NA,NA,NA,0,0,0,1,4,28.000000000000000,130.000000000000000,20,20,2
518411,6909604,84,518411.000000000000000,6909604,RL,219,491,NA,NA,NA,NA,NA,NA,0,0,0,1,4,28.399999999999999,135.300000000000010,15,10,
517924.9,6909603.0,86,517924.900000000020000,6909603,GX,62,425,84,438,29,697,74,682,0,0,0,1,4,28.800000000000001,154.500000000000000,100,40,2
518034.9,6909608.0,87,518034.900000000020000,6909608,CX,87,599,68,632,66,633,NA,NA,0,0,1,0,3,31.600000000000001,137.800000000000010,60,30,4
518459.9,6909608.0,88,518459.900000000020000,6909608,CX,117,533,103,587,85,650,NA,NA,0,0,1,0,3,31.600000000000001,132.000000000000000,70,30,3
517879.9,6909613.0,89,517879.900000000020000,6909613,CX,93,379,105,552,123,473,84,665,0,0,1,0,3,31.500000000000000,148.500000000000000,10,60,2
518164.9,6909623.0,90,518164.900000000020000,6909623,CX,68,600,52,617,74,671,38,702,0,0,1,0,3,31.500000000000000,137.300000000000010,100,40,2
518681,6909610,91,518681.000000000000000,6909610,RL,87,591,NA,NA,NA,NA,NA,NA,0,0,1,0,3,29.800000000000001,126.500000000000000,20,20,3
517949.9,6909628.0,92,517949.900000000020000,6909628,CX,92,576,143,551,114,698,90,672,0,0,0,1,4,28.500000000000000,160.000000000000000,100,40,2
518697,6909640,93,518697.000000000000000,6909640,CX,68,657,83,635,59,728,NA,NA,0,0,1,0,3,30.500000000000000,142.300000000000010,70,30,3
518549.9,6909648.0,94,518549.900000000020000,6909648,CX,109,611,71,623,71,623,49,709,0,0,1,0,3,29.800000000000001,139.500000000000000,100,40,3
518334.9,6909663.0,95,518334.900000000020000,6909663,CX,84,556,NA,NA,NA,NA,NA,NA,0,0,0,1,4,26.699999999999999,152.800000000000010,90,38,2
517919.9,6909738.0,97,517919.900000000020000,6909738,CX,84,556,69,622,50,678,105,610,0,0,1,0,3,31.000000000000000,140.300000000000010,80,40,2
518065,6909719,98,518065.000000000000000,6909719,GX,87,394,44,427,37,641,31,688,0,0,0,1,4,27.899999999999999,127.500000000000000,100,40,
517959.9,6909798.0,99,517959.900000000020000,6909798,OX,90,537,114,539,52,579,89,425,0,0,1,0,3,29.399999999999999,119.000000000000000,100,50,2
517560.632476245,6909106.50917096,106,517549.900000000020000,6909083,RL,218,504,NA,NA,NA,NA,NA,NA,0,0,1,0,3,32.000000000000000,135.500000000000000,20,20,1
517007,6909279,110,517007.000000000000000,6909279,CX,100,558,76,648,79,654,NA,NA,0,0,1,0,3,30.800000000000001,153.300000000000010,60,20,1
517260,6909355,114,517260.000000000000000,6909355,RL,160,502,NA,NA,NA,NA,NA,NA,0,0,0,1,4,25.600000000000001,152.000000000000000,20,20,1
518392,6909409,115,518392.000000000000000,6909409,CX,80,549,36,574,110,690,53,571,0,0,1,0,3,29.100000000000001,134.800000000000010,90,60,2
518261.258138489,6909358.0435117,116,518289.900000000020000,6909358,RL,189,393,NA,NA,NA,NA,NA,NA,0,0,1,0,3,29.500000000000000,126.300000000000000,30,30,4
518262.574858373,6909423.04151582,120,518289.900000000020000,6909423,RL,139,590,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.500000000000000,140.500000000000000,30,30,4
517052.186671462,6909437.99675868,122,517049.900000000020000,6909438,CX,74,635,96,513,67,708,72,696,0,0,1,0,3,30.699999999999999,148.800000000000010,70,60,1
518509.377545605,6909475.37994388,123,518509.900000000020000,6909483,CX,264,382,72,438,70,451,154,332,0,0,1,0,3,30.000000000000000,173.300000000000010,100,30,2
518397.503433869,6909445.3921791,130,518389.900000000020000,6909483,CX,158,595,140,610,109,653,NA,NA,0,1,0,0,2,33.299999999999997,153.800000000000010,60,30,2
517636,6909492,131,517636.000000000000000,6909492,CX,30,714,54,631,39,707,43,656,0,0,1,0,3,29.199999999999999,146.800000000000010,100,40,2
517813,6909341,132,517813.000000000000000,6909341,CX,154,576,83,608,63,672,51,789,0,1,0,0,2,33.500000000000000,150.500000000000000,100,30,4
